epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,43805.6,0.95769,3.39,0.18885,0.61783,1.13151,0.96177,0.98561,0.9932,0.73599,0.95291,0.97667,0.9868,0.36283,0.95811,2.79884,0.08311,0.47767,1.16648,0.00084575,0.00084575,0.00084575
100,44231.1,0.92884,3.4507,0.21025,0.59396,1.11152,0.93799,0.97814,0.95271,0.69459,0.92913,0.9692,0.94425,0.36097,1.01257,2.71687,0.08474,0.52365,1.17763,0.000841625,0.000841625,0.000841625
101,44655.7,0.96502,3.48998,0.20068,0.62069,1.12472,0.94776,0.98529,0.96975,0.70628,0.93523,0.97262,0.96066,0.34435,0.96944,2.7434,0.0968,0.51137,1.14124,0.0008375,0.0008375,0.0008375
102,45086.5,0.9852,3.65898,0.21593,0.62102,1.13446,0.99186,1,0.99386,0.72497,0.97782,0.98585,0.97799,0.34805,1.004,2.7769,0.09717,0.49382,1.1827,0.000833375,0.000833375,0.000833375
103,45521,0.95195,3.51683,0.20095,0.5975,1.13736,0.94475,0.98254,0.96139,0.72201,0.93582,0.9736,0.95306,0.36904,0.96191,2.68654,0.08293,0.51419,1.1748,0.00082925,0.00082925,0.00082925
104,45946.9,0.94208,3.47586,0.20796,0.60444,1.13112,0.96242,0.99161,0.99264,0.76396,0.95346,0.9827,0.9834,0.36353,0.93052,2.75591,0.08947,0.48191,1.13612,0.000825125,0.000825125,0.000825125
105,46371,0.95625,3.47685,0.19196,0.6061,1.12655,0.99506,0.98804,0.99268,0.75079,0.98612,0.97774,0.98002,0.40586,0.94076,2.66809,0.09851,0.49025,1.12696,0.000821,0.000821,0.000821
106,46796.6,0.94532,3.42783,0.2058,0.62789,1.12947,0.97031,0.99334,0.9925,0.73587,0.96145,0.9844,0.98425,0.3564,0.9751,2.80718,0.09647,0.48965,1.14558,0.000816875,0.000816875,0.000816875
107,47221.5,0.9479,3.44617,0.19293,0.62425,1.12221,0.97573,0.99458,0.99342,0.73281,0.96693,0.98564,0.98637,0.36704,0.97222,2.77354,0.10877,0.49188,1.13195,0.00081275,0.00081275,0.00081275
108,47648,0.98572,3.50718,0.19987,0.63672,1.13059,0.94475,0.98231,0.95343,0.72255,0.93067,0.96823,0.933,0.37531,0.96303,2.62232,0.08162,0.52183,1.14674,0.000808625,0.000808625,0.000808625
109,48073,0.96003,3.42164,0.19088,0.59555,1.13243,0.95123,0.98418,0.99206,0.74698,0.94237,0.97524,0.98551,0.40945,0.97072,2.5585,0.0873,0.50346,1.16354,0.0008045,0.0008045,0.0008045
110,48498.8,0.94172,3.45261,0.18373,0.58959,1.1257,0.95043,0.9791,0.98886,0.7466,0.94156,0.97016,0.98259,0.4143,0.97772,2.57898,0.0853,0.48884,1.17441,0.000800375,0.000800375,0.000800375
111,48929.4,0.93362,3.35116,0.18844,0.56098,1.11033,0.99072,0.99719,0.99265,0.74395,0.97652,0.98305,0.97387,0.40292,0.96088,2.60755,0.07328,0.47207,1.16561,0.00079625,0.00079625,0.00079625
112,49358,0.95107,3.3638,0.19591,0.62093,1.13944,0.94457,0.97318,0.96679,0.7295,0.93559,0.96424,0.95914,0.36124,0.95758,2.7243,0.08331,0.51736,1.16188,0.000792125,0.000792125,0.000792125
113,49782.1,0.97516,3.38722,0.18731,0.60581,1.12288,0.95132,0.98942,0.96796,0.73347,0.94246,0.98048,0.95847,0.37912,0.97235,2.65652,0.07938,0.48794,1.15657,0.000788,0.000788,0.000788
114,50206.9,0.976,3.61816,0.17618,0.6256,1.14995,0.96619,0.99351,0.98601,0.73177,0.95734,0.98457,0.9759,0.38985,0.96644,2.65561,0.06642,0.48285,1.15867,0.000783875,0.000783875,0.000783875
